L1D_CACHE_REFILL,0x8000003
L1D_CACHE,0x8000004
BR_PRED,0x8000012
MEM_ACCESS,0x8000013
L1D_CACHE_WB,0x8000015
L2D_CACHE,0x8000016
L2D_CACHE_REFILL,0x8000017
BUS_ACCESS,0x8000019
STALL_BACKEND,0x8000024
L1D_TLB,0x8000025
L3D_CACHE_ALLOCATE,0x8000029
L3D_CACHE_REFILL,0x800002a
L3D_CACHE,0x800002b
L2D_TLB_REFILL,0x800002d
L2D_TLB,0x800002f
REMOTE_ACCESS,0x8000031
DTLB_WALK,0x8000034
LL_CACHE_RD,0x8000036
LL_CACHE_MISS_RD,0x8000037
STALL_SLOT_BACKEND,0x800003d
L1D_CACHE_RD,0x8000040
L1D_CACHE_REFILL_RD,0x8000042
L1D_TLB_RD,0x800004e
L2D_CACHE_RD,0x8000050
L2D_TLB_RD,0x800005e
BUS_ACCESS_RD,0x8000060
MEM_ACCESS_RD,0x8000066
L3_CACHE_RD,0x80000a0
CNT_CYCLES,0x8004004
STALL_BACKEND_MEM,0x8004005
L1I_CACHE_LMISS,0x8004006
L2D_CACHE_LMISS_RD,0x8004009